Marital status,Course,Daytime/evening attendance,Nationality,Mother qualification,Father qualification,Gender,Scholarship holder,International,Age at enrollment,GDP,Target,Country,Latitude,Longitude
1,2,1,1,13,10,1,0,0,20,1.74,Dropout,Portugal,39.6621648,-8.1353519
1,11,1,1,1,3,1,0,0,19,0.79,Graduate,Portugal,39.6621648,-8.1353519
1,5,1,1,22,27,1,0,0,19,1.74,Dropout,Portugal,39.6621648,-8.1353519
1,15,1,1,23,27,0,0,0,20,-3.12,Graduate,Portugal,39.6621648,-8.1353519
2,3,0,1,22,28,0,0,0,45,0.79,Graduate,Portugal,39.6621648,-8.1353519
2,17,0,1,22,27,1,0,0,50,-0.92,Graduate,Portugal,39.6621648,-8.1353519
1,12,1,1,13,28,0,1,0,18,-4.06,Graduate,Portugal,39.6621648,-8.1353519
1,11,1,1,22,27,1,0,0,22,-4.06,Dropout,Portugal,39.6621648,-8.1353519
1,10,1,15,1,1,0,1,1,21,-0.92,Graduate,Romania,45.9852129,24.6859225
1,10,1,1,1,14,0,0,0,18,3.51,Dropout,Portugal,39.6621648,-8.1353519
1,14,1,1,23,14,0,0,0,18,0.79,Graduate,Portugal,39.6621648,-8.1353519
1,12,1,1,13,28,0,1,0,18,-1.7,Graduate,Portugal,39.6621648,-8.1353519
1,16,1,1,13,27,0,0,0,19,-1.7,Dropout,Portugal,39.6621648,-8.1353519
1,11,1,1,1,1,0,1,0,21,3.51,Graduate,Portugal,39.6621648,-8.1353519
1,6,1,1,23,27,0,1,0,18,1.74,Graduate,Portugal,39.6621648,-8.1353519
1,15,1,1,13,27,0,0,0,20,-4.06,Dropout,Portugal,39.6621648,-8.1353519
1,10,1,1,13,28,0,0,0,18,1.74,Enrolled,Portugal,39.6621648,-8.1353519
1,12,1,1,13,1,0,0,0,18,-4.06,Graduate,Portugal,39.6621648,-8.1353519
1,8,1,1,3,14,0,0,0,20,1.74,Graduate,Portugal,39.6621648,-8.1353519
1,16,1,1,13,14,0,0,0,18,-0.92,Enrolled,Portugal,39.6621648,-8.1353519
1,2,1,1,1,1,0,1,0,21,2.02,Graduate,Portugal,39.6621648,-8.1353519
1,13,1,1,1,28,0,0,0,20,-1.7,Enrolled,Portugal,39.6621648,-8.1353519
1,12,1,1,13,14,0,0,0,18,-1.7,Graduate,Portugal,39.6621648,-8.1353519
1,14,1,1,1,28,0,1,0,19,2.02,Graduate,Portugal,39.6621648,-8.1353519
1,12,1,1,13,14,0,0,0,19,2.02,Graduate,Portugal,39.6621648,-8.1353519
1,10,1,1,13,28,0,1,0,18,0.32,Enrolled,Portugal,39.6621648,-8.1353519
1,10,1,1,13,28,0,0,0,21,-0.92,Graduate,Portugal,39.6621648,-8.1353519
1,6,1,1,13,14,0,0,0,18,-3.12,Enrolled,Portugal,39.6621648,-8.1353519
1,9,1,1,13,1,0,0,0,20,-0.92,Graduate,Portugal,39.6621648,-8.1353519
1,12,1,1,3,3,1,0,0,19,-0.92,Enrolled,Portugal,39.6621648,-8.1353519
1,4,1,1,4,5,1,0,0,21,-0.92,Enrolled,Portugal,39.6621648,-8.1353519
1,5,1,1,27,3,1,0,0,20,3.51,Graduate,Portugal,39.6621648,-8.1353519
1,9,1,1,1,1,1,0,0,18,3.51,Enrolled,Portugal,39.6621648,-8.1353519
1,3,0,1,13,1,0,0,0,19,1.79,Graduate,Portugal,39.6621648,-8.1353519
1,17,0,1,2,27,1,0,0,34,0.79,Graduate,Portugal,39.6621648,-8.1353519
1,1,1,1,23,27,1,0,0,37,3.51,Dropout,Portugal,39.6621648,-8.1353519
1,7,1,1,19,27,1,0,0,43,0.32,Dropout,Portugal,39.6621648,-8.1353519
1,9,1,1,22,27,0,0,0,55,-0.92,Dropout,Portugal,39.6621648,-8.1353519
4,17,0,1,13,14,0,0,0,39,0.32,Graduate,Portugal,39.6621648,-8.1353519
1,8,1,3,4,4,0,0,1,20,1.79,Dropout,Spain,39.3260685,-4.8379791
1,15,1,1,3,3,0,0,0,18,-1.7,Dropout,Portugal,39.6621648,-8.1353519
1,9,1,1,3,14,0,0,0,22,3.51,Graduate,Portugal,39.6621648,-8.1353519
1,12,1,1,1,3,0,0,0,22,2.02,Graduate,Portugal,39.6621648,-8.1353519
1,15,1,1,1,28,0,0,0,20,1.79,Dropout,Portugal,39.6621648,-8.1353519
1,17,0,1,22,27,0,0,0,29,-0.92,Dropout,Portugal,39.6621648,-8.1353519
1,17,0,1,23,28,0,0,0,24,0.32,Enrolled,Portugal,39.6621648,-8.1353519
1,10,1,1,13,14,0,0,0,18,2.02,Graduate,Portugal,39.6621648,-8.1353519
1,12,1,1,22,14,0,1,0,22,2.02,Graduate,Portugal,39.6621648,-8.1353519
1,3,0,1,1,14,0,1,0,21,1.79,Graduate,Portugal,39.6621648,-8.1353519
1,10,1,1,22,28,0,1,0,19,-1.7,Graduate,Portugal,39.6621648,-8.1353519
1,11,1,1,13,28,0,1,0,24,1.79,Graduate,Portugal,39.6621648,-8.1353519
1,12,1,1,22,28,0,1,0,19,-3.12,Enrolled,Portugal,39.6621648,-8.1353519
1,15,1,1,1,14,0,1,0,20,-3.12,Enrolled,Portugal,39.6621648,-8.1353519
1,8,1,1,22,27,0,0,0,19,0.32,Graduate,Portugal,39.6621648,-8.1353519
1,17,0,1,23,28,0,0,0,27,-3.12,Dropout,Portugal,39.6621648,-8.1353519
1,12,1,1,1,14,0,0,0,18,-4.06,Graduate,Portugal,39.6621648,-8.1353519
2,11,1,1,1,3,0,0,0,39,1.79,Dropout,Portugal,39.6621648,-8.1353519
1,8,1,1,3,3,0,0,0,27,1.79,Dropout,Portugal,39.6621648,-8.1353519
1,12,1,1,23,28,0,0,0,18,-3.12,Graduate,Portugal,39.6621648,-8.1353519
1,2,1,1,23,27,0,0,0,18,0.32,Enrolled,Portugal,39.6621648,-8.1353519
1,12,1,1,13,14,0,0,0,18,-0.92,Graduate,Portugal,39.6621648,-8.1353519
1,10,1,1,13,1,0,1,0,21,0.79,Graduate,Portugal,39.6621648,-8.1353519
1,2,1,1,1,27,1,1,0,19,1.74,Enrolled,Portugal,39.6621648,-8.1353519
1,5,1,1,1,1,1,0,0,19,1.74,Enrolled,Portugal,39.6621648,-8.1353519
1,5,1,1,1,1,1,0,0,24,-1.7,Enrolled,Portugal,39.6621648,-8.1353519
4,12,1,1,1,1,1,0,0,29,0.79,Dropout,Portugal,39.6621648,-8.1353519
1,2,1,1,13,14,1,1,0,19,1.74,Graduate,Portugal,39.6621648,-8.1353519
1,4,1,1,13,27,1,0,0,23,3.51,Graduate,Portugal,39.6621648,-8.1353519
1,9,1,1,1,28,1,0,0,19,-0.92,Dropout,Portugal,39.6621648,-8.1353519
1,11,1,1,13,27,1,0,0,26,-1.7,Enrolled,Portugal,39.6621648,-8.1353519
1,9,1,1,23,27,1,0,0,18,0.32,Enrolled,Portugal,39.6621648,-8.1353519
1,12,1,1,22,14,1,0,0,24,0.79,Graduate,Portugal,39.6621648,-8.1353519
1,2,1,1,13,14,1,0,0,19,-4.06,Dropout,Portugal,39.6621648,-8.1353519
1,11,1,1,23,27,1,0,0,18,1.79,Dropout,Portugal,39.6621648,-8.1353519
1,15,1,1,23,28,1,0,0,18,1.74,Graduate,Portugal,39.6621648,-8.1353519
