Marital status,Daytime/evening attendance,Previous qualification,Nationality,Mother qualification,Father qualification,Tuition fees up to date,Gender,Scholarship holder,International,Age at enrollment,Curricular units 1st sem (grade),Curricular units 2nd sem (grade),Target
1,1,1,1,13,10,1,1,0,0,20,0.0,0.0,Dropout
1,1,1,1,1,3,0,1,0,0,19,14.0,13.666666666666666,Graduate
1,1,1,1,22,27,0,1,0,0,19,0.0,0.0,Dropout
1,1,1,1,23,27,1,0,0,0,20,13.428571428571429,12.4,Graduate
2,0,1,1,22,28,1,0,0,0,45,12.333333333333334,13.0,Graduate
2,0,12,1,22,27,1,1,0,0,50,11.857142857142858,11.5,Graduate
1,1,1,1,13,28,1,0,1,0,18,13.3,14.345,Graduate
1,1,1,1,22,27,0,1,0,0,22,0.0,0.0,Dropout
1,1,1,15,1,1,1,0,1,1,21,13.875,14.142857142857142,Graduate
1,1,1,1,1,14,0,0,0,0,18,11.4,13.5,Dropout
1,1,1,1,23,14,1,0,0,0,18,12.333333333333334,14.2,Graduate
1,1,1,1,13,28,1,0,1,0,18,13.214285714285714,13.214285714285714,Graduate
1,1,1,1,13,27,1,0,0,0,19,0.0,0.0,Dropout
1,1,16,1,1,1,1,0,1,0,21,10.571428571428571,11.0,Graduate
1,1,1,1,23,27,1,0,1,0,18,13.25,12.0,Graduate
1,1,1,1,13,27,1,0,0,0,20,13.2,0.0,Dropout
1,1,1,1,13,28,1,0,0,0,18,12.0,11.0,Enrolled
1,1,1,1,13,1,1,0,0,0,18,13.30625,14.545,Graduate
1,1,1,1,3,14,1,0,0,0,20,12.5,12.25,Graduate
1,1,1,1,13,14,1,0,0,0,18,11.666666666666666,13.5,Enrolled
1,1,1,1,1,1,1,0,1,0,21,0.0,0.0,Graduate
1,1,1,1,1,28,1,0,0,0,20,11.4375,11.425,Enrolled
1,1,1,1,13,14,1,0,0,0,18,12.857142857142858,12.857142857142858,Graduate
1,1,1,1,1,28,1,0,1,0,19,13.375,12.285714285714286,Graduate
1,1,1,1,13,14,1,0,0,0,19,13.296666666666669,14.114285714285714,Graduate
1,1,1,1,13,28,1,0,1,0,18,11.6,11.0,Enrolled
1,1,1,1,13,28,1,0,0,0,21,11.375,13.285714285714286,Graduate
1,1,1,1,13,14,1,0,0,0,18,12.666666666666666,13.0,Enrolled
1,1,1,1,13,1,1,0,0,0,20,12.0,12.333333333333334,Graduate
1,1,1,1,3,3,1,1,0,0,19,12.933333333333332,13.716666666666669,Enrolled
1,1,14,1,4,5,1,1,0,0,21,11.857142857142858,10.571428571428571,Enrolled
1,1,1,1,27,3,1,1,0,0,20,12.833333333333334,13.4,Graduate
1,1,1,1,1,1,0,1,0,0,18,11.333333333333334,13.5,Enrolled
1,0,1,1,13,1,1,0,0,0,19,12.666666666666666,14.375,Graduate
1,0,1,1,2,27,1,1,0,0,34,12.4,13.428571428571429,Graduate
1,1,1,1,23,27,0,1,0,0,37,0.0,10.0,Dropout
1,1,8,1,19,27,1,1,0,0,43,0.0,0.0,Dropout
1,1,1,1,22,27,1,0,0,0,55,10.0,12.0,Dropout
4,0,1,1,13,14,1,0,0,0,39,11.0,11.6,Graduate
1,1,14,3,4,4,0,0,0,1,20,11.666666666666666,12.0,Dropout
1,1,1,1,3,3,1,0,0,0,18,12.75,0.0,Dropout
1,1,1,1,3,14,1,0,0,0,22,14.8,15.8,Graduate
1,1,1,1,1,3,1,0,0,0,22,13.928,14.342857142857142,Graduate
1,1,1,1,1,28,0,0,0,0,20,13.0,13.8,Dropout
1,0,1,1,22,27,1,0,0,0,29,0.0,0.0,Dropout
1,0,1,1,23,28,1,0,0,0,24,11.5,14.333333333333334,Enrolled
1,1,1,1,13,14,1,0,0,0,18,11.666666666666666,13.2,Graduate
1,1,1,1,22,14,1,0,1,0,22,13.516666666666666,13.771428571428572,Graduate
1,0,14,1,1,14,1,0,1,0,21,11.5,13.285714285714286,Graduate
1,1,1,1,22,28,1,0,1,0,19,12.333333333333334,12.833333333333334,Graduate
1,1,1,1,13,28,1,0,1,0,24,13.666666666666666,14.166666666666666,Graduate
1,1,1,1,22,28,1,0,1,0,19,11.833333333333334,11.833333333333334,Enrolled
1,1,1,1,1,14,1,0,1,0,20,14.0,11.0,Enrolled
1,1,1,1,22,27,1,0,0,0,19,14.714285714285714,15.8,Graduate
1,0,1,1,23,28,1,0,0,0,27,10.6,11.0,Dropout
1,1,1,1,1,14,1,0,0,0,18,13.044444444444444,13.595,Graduate
2,1,3,1,1,3,1,0,0,0,39,0.0,0.0,Dropout
1,1,15,1,3,3,1,0,0,0,27,13.0,12.9,Dropout
1,1,1,1,23,28,1,0,0,0,18,14.935,14.935,Graduate
1,1,1,1,23,27,1,0,0,0,18,0.0,0.0,Enrolled
1,1,1,1,13,14,1,0,0,0,18,13.133333333333333,12.221428571428572,Graduate
1,1,14,1,13,1,1,0,1,0,21,12.0,12.0,Graduate
1,1,1,1,1,27,1,1,1,0,19,0.0,0.0,Enrolled
1,1,1,1,1,1,1,1,0,0,19,11.4,10.0,Enrolled
1,1,1,1,1,1,1,1,0,0,24,0.0,0.0,Enrolled
4,1,12,1,1,1,1,1,0,0,29,11.9,11.0,Dropout
1,1,1,1,13,14,1,1,1,0,19,0.0,0.0,Graduate
1,1,14,1,13,27,1,1,0,0,23,12.571428571428571,12.428571428571429,Graduate
1,1,1,1,1,28,1,1,0,0,19,11.2,10.75,Dropout
1,1,1,1,13,27,1,1,0,0,26,12.0,10.8,Enrolled
1,1,1,1,23,27,1,1,0,0,18,0.0,0.0,Enrolled
1,1,1,1,22,14,1,1,0,0,24,11.975,13.75,Graduate
1,1,1,1,13,14,1,1,0,0,19,0.0,0.0,Dropout
1,1,1,1,23,27,1,1,0,0,18,11.666666666666666,12.0,Dropout
1,1,1,1,23,28,1,1,0,0,18,12.333333333333334,12.333333333333334,Graduate
1,1,1,1,13,14,1,1,0,0,18,10.333333333333334,10.857142857142858,Dropout
1,1,1,1,13,27,1,1,1,0,21,10.5,11.0,Dropout
1,1,1,1,1,14,1,1,1,0,19,13.666666666666666,13.333333333333334,Graduate
1,1,1,1,23,27,1,1,1,0,22,14.842857142857142,15.055555555555555,Graduate
2,0,1,1,22,27,1,1,0,0,33,12.0,11.666666666666666,Graduate
1,1,1,1,13,14,1,1,0,0,20,12.2,12.2,Dropout
1,0,2,1,3,3,1,1,0,0,35,0.0,0.0,Dropout
1,1,4,1,3,3,1,1,0,0,24,12.166666666666666,13.3,Dropout
1,1,1,1,13,14,1,1,0,0,18,12.0,11.333333333333334,Enrolled
2,0,1,1,22,27,1,0,0,0,33,11.0,11.0,Graduate
1,1,1,1,22,28,1,0,1,0,22,13.08,13.08,Graduate
1,1,1,1,1,14,1,0,1,0,25,10.5,11.6,Graduate
1,1,1,1,13,28,1,1,0,0,20,10.666666666666666,11.2,Graduate
1,1,1,1,23,27,1,1,0,0,23,14.0,13.8,Enrolled
1,1,1,1,23,14,1,1,0,0,18,10.0,0.0,Enrolled
1,1,1,1,1,1,1,1,0,0,24,0.0,0.0,Dropout
1,1,1,14,13,1,0,0,0,1,21,14.0,13.5,Graduate
1,1,1,14,1,1,1,0,0,1,26,12.0,0.0,Dropout
2,1,8,1,22,24,1,0,0,0,39,12.666666666666666,0.0,Dropout
2,0,1,1,22,14,1,0,0,0,44,11.875,12.333333333333334,Graduate
1,1,1,12,23,3,1,1,0,1,19,14.0,13.25,Enrolled
1,1,1,1,22,1,1,0,0,0,18,13.666666666666666,13.333333333333334,Graduate
1,1,1,1,22,27,1,0,1,0,18,13.75,14.47777777777778,Graduate
1,1,1,1,1,2,1,0,0,0,19,14.2,13.8,Enrolled
1,1,1,1,3,3,0,0,0,0,19,11.96,0.0,Dropout
1,1,16,1,23,28,1,0,0,0,21,12.875,13.4,Dropout
1,1,1,1,1,1,1,0,0,0,20,0.0,0.0,Graduate
2,0,1,1,22,27,1,0,0,0,36,0.0,0.0,Dropout
4,1,9,1,22,27,1,0,0,0,43,14.63157894736842,14.23076923076923,Graduate
1,1,1,1,13,14,1,0,0,0,19,0.0,0.0,Dropout
1,1,1,1,3,1,1,0,0,0,20,13.0,12.272727272727272,Graduate
1,1,1,1,22,28,1,0,0,0,19,0.0,0.0,Dropout
1,1,1,1,1,1,1,0,0,0,20,14.2,13.25,Dropout
1,1,1,1,3,4,1,0,0,0,20,13.266666666666666,12.3,Dropout
1,1,1,1,13,1,1,0,0,0,20,11.666666666666666,13.0,Enrolled
1,1,1,1,22,27,1,0,0,0,18,13.857142857142858,15.0,Graduate
1,1,1,1,1,28,1,0,1,0,18,13.0,11.0,Enrolled
1,1,1,1,13,14,1,0,0,0,19,13.4,12.8,Graduate
1,1,1,1,1,28,1,0,0,0,18,12.666666666666666,12.571428571428571,Graduate
1,1,1,1,22,27,1,0,0,0,18,12.516666666666666,12.516666666666666,Dropout
1,1,1,1,23,28,1,0,0,0,20,11.616666666666667,13.0,Enrolled
1,1,1,1,13,27,1,0,1,0,20,10.0,10.75,Enrolled
1,1,1,1,13,14,1,0,0,0,20,10.333333333333334,10.666666666666666,Enrolled
1,1,1,1,22,28,1,0,0,0,18,13.142857142857142,11.4,Graduate
1,1,1,1,2,14,1,0,0,0,18,12.6,14.0,Graduate
1,1,1,1,1,1,1,0,0,0,21,11.0,11.0,Dropout
1,1,1,1,13,14,1,0,0,0,19,10.8,11.25,Graduate
1,1,1,1,3,14,1,0,0,0,19,0.0,0.0,Dropout
1,1,1,1,23,28,1,0,1,0,19,12.8,14.2,Graduate
1,1,1,1,13,28,1,0,0,0,19,14.166666666666666,12.2,Graduate
1,1,1,1,1,1,1,0,0,0,19,12.1,0.0,Dropout
1,1,14,1,22,27,1,0,0,0,20,14.166666666666666,13.77777777777778,Graduate
1,1,1,1,13,28,1,0,1,0,18,12.8,13.4,Enrolled
1,1,1,1,1,29,1,0,0,0,18,13.0,13.666666666666666,Graduate
1,1,1,1,1,27,1,0,0,0,19,13.467142857142855,15.011111111111113,Graduate
1,1,1,1,13,14,1,0,1,0,18,13.2375,13.742857142857144,Dropout
1,1,1,1,22,27,1,0,0,0,18,12.333333333333334,13.0,Graduate
1,1,1,1,1,14,1,0,0,0,19,12.4,14.6,Graduate
1,1,1,1,1,14,1,0,0,0,19,14.0,0.0,Dropout
1,1,1,1,23,27,1,0,0,0,20,11.666666666666666,11.714285714285714,Graduate
1,1,1,1,1,28,0,0,1,0,19,12.0,12.5,Dropout
1,1,1,1,13,14,1,0,0,0,20,12.2,11.5,Graduate
1,1,1,1,1,1,1,0,1,0,18,14.833333333333334,14.833333333333334,Graduate
1,1,1,1,13,1,1,0,1,0,20,13.188,12.892857142857142,Enrolled
1,1,1,1,13,1,1,0,0,0,18,17.125,17.5875,Graduate
1,1,1,1,22,27,1,0,0,0,19,12.666666666666666,12.666666666666666,Graduate
1,1,1,1,13,1,1,0,1,0,19,12.666666666666666,12.0,Graduate
1,1,1,1,3,1,0,0,0,0,22,0.0,0.0,Enrolled
1,1,1,1,1,10,1,0,1,0,19,11.333333333333334,11.5,Graduate
1,1,1,1,13,14,1,0,1,0,19,13.605,12.33125,Graduate
1,1,1,1,22,28,1,0,1,0,19,12.0,10.8,Graduate
1,1,1,1,10,14,1,0,0,0,19,0.0,0.0,Dropout
1,1,1,1,1,27,1,0,0,0,20,11.2,11.666666666666666,Dropout
1,1,1,1,3,14,1,0,0,0,18,13.375,14.166666666666666,Graduate
1,1,1,1,1,14,1,0,1,0,20,13.863333333333337,14.178571428571429,Graduate
1,1,1,1,3,27,1,0,0,0,18,0.0,0.0,Enrolled
1,1,1,1,1,28,1,0,0,0,19,12.4,13.4,Graduate
1,1,1,1,23,28,1,0,0,0,18,12.333333333333334,10.833333333333334,Enrolled
1,1,1,1,22,27,1,0,0,0,18,13.333333333333334,11.8,Graduate
1,1,1,1,3,27,1,0,0,0,21,12.666666666666666,10.0,Dropout
1,1,1,1,23,27,1,0,0,0,19,12.0,11.5,Dropout
1,1,1,1,23,28,1,0,1,0,18,10.6,11.8,Graduate
1,1,1,1,1,27,1,0,1,0,18,12.25,11.857142857142858,Graduate
1,1,1,1,13,1,1,0,0,0,20,11.0,11.833333333333334,Graduate
1,0,1,1,1,14,1,0,1,0,24,11.0,12.6,Graduate
1,1,1,1,13,1,1,0,0,0,19,13.166666666666666,13.0,Dropout
1,1,1,1,13,27,1,0,1,0,18,12.855555555555554,12.761111111111113,Graduate
1,1,1,1,13,14,1,0,0,0,18,14.91875,15.355,Graduate
1,1,1,1,10,10,1,0,0,0,21,11.5,11.0,Dropout
1,1,1,1,1,14,1,0,0,0,19,14.2,14.2,Graduate
1,1,1,1,13,27,1,0,1,0,19,12.5,13.0,Graduate
3,1,1,1,1,27,1,0,0,0,47,0.0,0.0,Enrolled
1,1,1,1,13,14,1,0,0,0,19,11.666666666666666,11.0,Graduate
1,1,3,1,2,2,1,0,0,0,29,14.257142857142856,14.257142857142856,Graduate
1,1,1,1,13,14,1,0,0,0,21,12.0,11.333333333333334,Dropout
1,1,1,1,22,14,1,0,0,0,28,11.25,10.5,Enrolled
1,1,1,1,22,27,1,0,0,0,20,12.457142857142856,13.5625,Graduate
1,1,1,1,2,28,1,0,0,0,19,11.683333333333332,11.683333333333332,Graduate
1,0,1,1,13,2,1,0,0,0,26,11.666666666666666,12.0,Graduate
1,1,1,1,22,27,0,0,0,0,20,11.75,13.166666666666666,Dropout
1,1,1,1,22,27,1,0,1,0,18,11.666666666666666,13.5,Enrolled
1,1,1,1,22,14,1,0,0,0,27,13.2,12.0,Graduate
1,1,1,1,19,24,1,0,0,0,20,11.95,11.95,Dropout
1,1,1,1,22,14,1,0,0,0,18,12.4,10.4,Dropout
1,1,3,1,1,1,1,0,0,0,33,14.35,14.583333333333334,Dropout
1,1,1,1,3,1,1,0,0,0,35,12.61904761904762,12.789473684210526,Graduate
1,0,14,1,22,14,1,0,1,0,26,12.666666666666666,13.166666666666666,Enrolled
1,1,12,1,13,14,0,0,0,0,27,12.0,0.0,Dropout
1,1,1,1,1,27,0,0,0,0,19,12.166666666666666,0.0,Dropout
1,1,1,1,1,14,1,0,0,0,20,0.0,0.0,Dropout
1,1,1,1,3,3,0,0,0,0,20,10.0,10.571428571428571,Dropout
1,1,1,1,1,27,0,0,0,0,21,11.5,10.0,Enrolled
1,1,1,1,23,1,1,0,1,0,18,13.05,13.05,Graduate
1,1,1,1,1,14,1,0,0,0,24,11.0,0.0,Dropout
1,1,1,1,1,3,1,0,0,0,20,11.5,12.0,Graduate
1,1,1,1,13,28,1,0,1,0,21,12.0,12.5,Graduate
1,0,1,1,1,27,1,0,0,0,23,10.0,10.0,Enrolled
1,1,1,1,10,3,1,0,0,0,24,0.0,0.0,Dropout
1,1,1,1,1,1,1,0,0,0,21,0.0,0.0,Dropout
1,1,1,1,23,28,1,0,0,0,18,12.242857142857144,12.242857142857144,Graduate
1,0,15,1,13,1,1,0,0,0,27,0.0,0.0,Dropout
1,1,1,1,22,27,1,0,0,0,18,12.93375,12.93375,Graduate
1,1,3,1,3,2,1,0,0,0,35,0.0,0.0,Dropout
1,1,1,1,13,14,1,0,0,0,18,12.571428571428571,14.428571428571429,Graduate
1,1,1,1,1,3,1,0,0,0,35,11.816666666666668,11.333333333333334,Enrolled
1,1,1,1,1,1,1,0,0,0,19,13.75,14.333333333333334,Graduate
1,1,1,1,13,14,1,0,0,0,20,11.166666666666666,11.333333333333334,Graduate
1,1,1,1,13,14,1,0,0,0,18,12.324285714285711,12.324285714285711,Graduate
1,1,14,1,23,28,1,0,0,0,21,12.166666666666666,11.714285714285714,Graduate
1,1,1,1,13,27,1,0,1,0,18,11.142857142857142,11.25,Graduate
1,1,1,1,19,24,1,0,0,0,18,11.0,10.75,Graduate
