Curricular units 2nd sem (grade),Curricular units 1st sem (grade),Target
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Enrolled
0,0,Enrolled
0,0,Enrolled
0,0,Graduate
0,0,Enrolled
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Enrolled
0,0,Dropout
0,0,Enrolled
0,0,Enrolled
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Enrolled
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Enrolled
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Enrolled
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Enrolled
0,0,Dropout
0,0,Enrolled
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Enrolled
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Enrolled
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Enrolled
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Enrolled
0,0,Dropout
0,0,Enrolled
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Enrolled
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Enrolled
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Enrolled
0,0,Dropout
0,0,Enrolled
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Graduate
0,0,Graduate
0,0,Enrolled
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Enrolled
0,0,Enrolled
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Enrolled
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Enrolled
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Enrolled
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Enrolled
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Enrolled
0,0,Enrolled
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Graduate
0,0,Enrolled
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Enrolled
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Enrolled
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Enrolled
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Enrolled
0,0,Dropout
0,0,Dropout
0,0,Enrolled
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Enrolled
0,0,Dropout
0,0,Dropout
0,0,Enrolled
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Enrolled
0,0,Dropout
0,0,Enrolled
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Enrolled
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Enrolled
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Enrolled
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Enrolled
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Enrolled
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Enrolled
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Enrolled
0,0,Dropout
0,0,Enrolled
0,0,Enrolled
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
