,Marital status,Course,Daytime/evening attendance,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Gender,Scholarship holder,Age at enrollment,Target
0,1,2,1,1,13,10,6,10,1,0,20,Dropout
1,1,11,1,1,1,3,4,4,1,0,19,Graduate
2,1,5,1,1,22,27,10,10,1,0,19,Dropout
3,1,15,1,1,23,27,6,4,0,0,20,Graduate
4,2,3,0,1,22,28,10,10,0,0,45,Graduate
5,2,17,0,1,22,27,10,8,1,0,50,Graduate
6,1,12,1,1,13,28,8,11,0,1,18,Graduate
7,1,11,1,1,22,27,10,10,1,0,22,Dropout
8,1,10,1,15,1,1,10,10,0,1,21,Graduate
9,1,10,1,1,1,14,5,8,0,0,18,Dropout
10,1,14,1,1,23,14,6,8,0,0,18,Graduate
11,1,12,1,1,13,28,10,10,0,1,18,Graduate
12,1,16,1,1,13,27,5,10,0,0,19,Dropout
13,1,11,1,1,1,1,5,8,0,1,21,Graduate
14,1,6,1,1,23,27,6,6,0,1,18,Graduate
15,1,15,1,1,13,27,10,4,0,0,20,Dropout
16,1,10,1,1,13,28,6,9,0,0,18,Enrolled
17,1,12,1,1,13,1,6,5,0,0,18,Graduate
18,1,8,1,1,3,14,4,6,0,0,20,Graduate
19,1,16,1,1,13,14,8,8,0,0,18,Enrolled
20,1,2,1,1,1,1,10,9,0,1,21,Graduate
21,1,13,1,1,1,28,5,8,0,0,20,Enrolled
22,1,12,1,1,13,14,2,2,0,0,18,Graduate
23,1,14,1,1,1,28,5,8,0,1,19,Graduate
24,1,12,1,1,13,14,4,8,0,0,19,Graduate
25,1,10,1,1,13,28,10,10,0,1,18,Enrolled
26,1,10,1,1,13,28,8,9,0,0,21,Graduate
27,1,6,1,1,13,14,4,4,0,0,18,Enrolled
28,1,9,1,1,13,1,10,10,0,0,20,Graduate
29,1,12,1,1,3,3,2,11,1,0,19,Enrolled
30,1,4,1,1,4,5,5,3,1,0,21,Enrolled
31,1,5,1,1,27,3,16,22,1,0,20,Graduate
